"cityId","city","zip_code"
"562","Farkaslyuk","3608"
"663","Felsőberecki","3985"
"764","Felsődobsza","3847"
"506","Felsőgagy","3837"
"607","Felsőkelecsény","3722"
"708","Felsőnyárád","3721"
"809","Felsőregmec","3989"
"551","Felsőtelekes","3735"
"652","Felsővadász","3814"
"753","Felsőzsolca","3561"
"854","Filkeháza","3994"
"596","Folyás","4090"
"697","Fonyód","8644"
"798","Füle","8157"
"540","Füzér","3996"
"641","Füzérkajata","3994"
"742","Füzérkomlós","3997"
"843","Füzérradvány","3993"
"585","Gadna","3815"
"686","Gagyapáti","3837"
"787","Gagybátor","3817"
"529","Gagyvendégi","3816"
"630","Galvács","3752"
"731","Garadna","3873"
"832","Gelej","3444"
"574","Gesztely","3923"
"574","Gesztely","3715"
"675","Girincs","3578"
"776","Göd","2132"
"518","Gönyű","9071"
"619","Gór","9625"
"720","Görbeháza","4075"
"821","Györköny","7045"
"563","Halmaj","3842"
"664","Hangács","3795"
"765","Hangony","3626"
"507","Háromhuta","3936"
"608","Harsány","3555"
"709","Hegymeg","3786"
"810","Hejce","3892"
"552","Hejőbába","3593"
"653","Hejőkeresztúr","3597"
"754","Hejőkürt","3588"
"855","Hejőpapi","3594"
"597","Hejőszalonta","3595"
"698","Hercegkút","3958"
"799","Hernádbőd","3853"
"541","Hernádcéce","3887"
"642","Hernádkak","3563"
"743","Hernádkércs","3846"
"844","Hernádnémeti","3564"
"586","Hernádpetri","3874"
"687","Hernádszentandrás","3852"
"788","Hernádszurdok","3875"
"530","Hernádvécse","3874"
"631","Hét","3655"
"732","Hidasnémeti","3876"
"833","Hidvégardó","3768"
"575","Hollád","8731"
"676","Homorúd","7716"
"777","Igrici","3459"
"519","Imola","3724"
"620","Ináncs","3851"
"721","Irota","3786"
"822","Izsófalva","3741"
"564","Jákfalva","3721"
"665","Járdánháza","3664"
"766","Jósvafő","3758"
"508","Kács","3424"
"609","Kánó","3735"
"710","Kány","3821"
"811","Karcsa","3963"
"553","Karos","3962"
"654","Kazincbarcika","3700"
"755","Kázsmárk","3831"
"856","Kéked","3899"
"598","Kelemér","3728"
"699","Kenézlő","3955"
"800","Keresztéte","3821"
"542","Kesznyéten","3579"
"643","Királd","3657"
"744","Kiscsécs","3578"
"845","KisGyőr","3556"
"587","Kishuta","3994"
"688","Kiskinizs","3843"
"789","Kisrozvágy","3965"
"531","Kissikátor","3627"
"632","Kistokaj","3553"
"733","Kölesd","7052"
"834","Komárom","2921"
"426","Komló","7305"
"576","Komoró","4622"
"677","Konyár","4133"
"778","Kosd","2612"
"520","Krasznokvajda","3821"
"621","Kunszentmárton","5440"
"722","Kunsziget","9184"
"823","Lácacséke","3967"
"565","Ládbesenyő","3780"
"666","Lak","3786"
"767","Legyesbénye","3904"
"509","Léh","3832"
"610","Lénárddaróc","3648"
"711","Litka","3866"
"812","Mád","3909"
"554","Makkoshotyka","3959"
"655","Mályi","3434"
"756","Mályinka","3645"
"857","Martonyi","3755"
"599","Megyaszó","3718"
"700","Méra","3871"
"801","Meszes","3754"
"543","Mezőcsát","3450"
"644","Mezőkeresztes","3441"
"745","Mezőkövesd","3400"
"846","Mezőnagymihály","3443"
"588","Mezőnyárád","3421"
"689","Mezőzombor","3931"
"790","Mikóháza","3989"
"532","Miskolc","3510"
"532","Miskolc","3515"
"532","Miskolc","3516"
"532","Miskolc","3508"
"532","Miskolc","3517"
"532","Miskolc","3518"
"532","Miskolc","3521"
"532","Miskolc","3519"
"532","Miskolc","3500"
"532","Miskolc","3501"
"532","Miskolc","3524"
"532","Miskolc","3525"
"532","Miskolc","3526"
"532","Miskolc","3527"
"532","Miskolc","3528"
"532","Miskolc","3529"
"532","Miskolc","3530"
"532","Miskolc","3531"
"532","Miskolc","3532"
"532","Miskolc","3533"
"532","Miskolc","3534"
"532","Miskolc","3535"
"633","Mogyorósbánya","2535"
"734","Molvány","7981"
"835","Monaj","3812"
"577","Múcsony","3744"
"678","Muhi","3552"
"779","Nagybarca","3641"
"521","Nagycsécs","3598"
"622","Nagyhuta","3994"
"723","Nagykinizs","3844"
"824","Nagyrozvágy","3965"
"566","Négyes","3463"
"667","Nekézseny","3646"
"768","Nemesbikk","3592"
"510","Novaj","3327"
"611","Nyékládháza","3433"
"712","Nyésta","3809"
"813","Nyíri","3997"
"555","Nyőgér","9682"
"656","Okorvölgy","7681"
"757","Olcsva","4826"
"858","Olcsvaapáti","4914"
"600","őrbottyán","2162"
"701","Örményes","5222"
"802","Ormosbánya","3743"
"544","Orosháza","5904"
"544","Orosháza","5903"
"544","Orosháza","5905"
"544","Orosháza","5900"
"645","Oroszi","8458"
"746","Oroszlány","2840"
"847","Oroszló","7370"
"589","Pácin","3964"
"690","Pálháza","3994"
"791","Pamlény","3821"
"533","Pányok","3898"
"634","Parasznya","3777"
"735","Pere","3853"
"836","Perecse","3821"
"578","Perkupa","3756"
"679","Prügy","3925"
"780","Pusztaberki","2658"
"522","Pusztamagyaród","8895"
"623","Pusztaszentlászló","8896"
"724","Radostyán","3776"
"825","Ragály","3724"
"567","Rakaca","3825"
"668","Rakacaszend","3826"
"769","Rásonysápberencs","3833"
"511","Rátka","3908"
"612","Regéc","3893"
"713","Répáshuta","3559"
"814","Révleányvár","3976"
"556","Ricse","3974"
"657","Rudabánya","3733"
"758","Rudolftelep","3742"
"859","Sajóbábony","3792"
"601","Sajóecseg","3793"
"702","Sajógalgóc","3636"
"803","Sajóhidvég","3576"
"545","Sajóivánka","3720"
"646","Sajókápolna","3773"
"747","Sajókaza","3720"
"848","Sajókeresztúr","3791"
"590","Sajólád","3572"
"691","Sajólászlófalva","3773"
"792","Sajómercse","3656"
"534","Sajónémeti","3652"
"635","Sajóörös","3586"
"736","Sajópálfala","3714"
"837","Sajópetri","3573"
"579","Sajópüspöki","3653"
"680","Sajósenye","3712"
"781","Sajószentpéter","3770"
"523","Sajószöged","3599"
"624","Sajóvámos","3712"
"725","Sajóvelezd","3656"
"826","Sály","3425"
"568","Sárazsadány","3942"
"669","Sárospatak","3952"
"669","Sárospatak","3950"
"770","Sáta","3659"
"512","Sátoraljaújhely","3944"
"512","Sátoraljaújhely","3945"
"512","Sátoraljaújhely","3988"
"512","Sátoraljaújhely","3980"
"613","Selyeb","3809"
"714","Semjén","3974"
"815","Serényfalva","3729"
"557","Sima","3881"
"658","Sorokpolány","9773"
"759","Szakácsi","3786"
"860","Szakáld","3596"
"602","Szalaszend","3863"
"703","Szalonna","3754"
"804","Szászfa","3821"
"546","Szegi","3918"
"647","Szegilong","3918"
"748","Szemere","3866"
"849","Szendrő","3752"
"591","Szendrőlád","3751"
"692","Szentistván","3418"
"793","Szentistvánbaksa","3844"
"535","Szerencs","3900"
